week,prey_spp,mean_sharp_oi,mean_sharp_oi_se,mean_prey_ai,mean_prey_ai_se,sharp_wt_mean_prey_ai,sharp_wt_mean_prey_ai_se,detected_in_diet,seasonal_mean_prey_ai
10/26/2019,Lesser Goldfinch,0.247060452,0.018963376,1.682326879,0.112554388,0.549712231,0.073464289,no,1.839042451
11/2/2019,Lesser Goldfinch,0.244498094,0.024041265,1.716978708,0.117834969,0.58567016,0.084559853,no,1.839042451
11/9/2019,Lesser Goldfinch,0.229027994,0.024248421,1.811135014,0.125488985,0.594294751,0.089660503,no,1.839042451
11/16/2019,Lesser Goldfinch,0.204150392,0.02358607,1.876509073,0.127691739,0.588828245,0.090628351,no,1.839042451
11/23/2019,Lesser Goldfinch,0.184173084,0.019180707,2.101634836,0.146897853,0.629038291,0.08650383,no,1.839042451
11/30/2019,Lesser Goldfinch,0.171803035,0.014657158,2.219952064,0.155930497,0.673296001,0.083320616,no,1.839042451
8/3/2019,Chestnut-backed Chickadee,0.004296141,0.000326679,1.54146085,0.089481783,0.01088233,0.001388889,yes,1.775424765
8/10/2019,Chestnut-backed Chickadee,0.005751341,0.00037618,1.600579821,0.092481764,0.011981043,0.001722195,yes,1.775424765
8/17/2019,Chestnut-backed Chickadee,0.010672759,0.000614115,1.700613355,0.097187861,0.018196172,0.00218506,yes,1.775424765
8/24/2019,Chestnut-backed Chickadee,0.017598339,0.001465635,1.965682201,0.121461679,0.032609976,0.004278501,yes,1.775424765
8/31/2019,Chestnut-backed Chickadee,0.024875634,0.002237459,2.154360046,0.119667404,0.045727172,0.006085103,yes,1.775424765
9/7/2019,Chestnut-backed Chickadee,0.04305209,0.00422835,2.2576236,0.11729416,0.091714777,0.011876552,yes,1.775424765
9/14/2019,Chestnut-backed Chickadee,0.084831471,0.007041439,2.309195375,0.120192409,0.205311521,0.022889969,yes,1.775424765
9/21/2019,Chestnut-backed Chickadee,0.130040701,0.0102244,2.236662427,0.116242739,0.309961139,0.031718253,yes,1.775424765
9/28/2019,Chestnut-backed Chickadee,0.163891643,0.011887576,2.145502221,0.112823898,0.378516936,0.037026724,yes,1.775424765
10/5/2019,Chestnut-backed Chickadee,0.207526829,0.013673862,2.069090101,0.114916993,0.422987382,0.041407592,yes,1.775424765
10/12/2019,Chestnut-backed Chickadee,0.218119993,0.013912487,1.929168758,0.105208805,0.392302566,0.039538404,yes,1.775424765
