prey_name,family,diet,habitat,urban,mig_strat,log10_mass,age_mature,feeder_bird
Gyrfalcon,Falconidae,Vertebrates,Grassland,No,Irruptive,3.16,2,No
Hairy Woodpecker,Picidae,Omnivore,Woodland,Yes,Resident,1.78,1,Yes
Hammond's Flycatcher,Tyrannidae,Invertebrates,Woodland,No,Moderate,1,2,No
Willow Flycatcher,Tyrannidae,Invertebrates,Woodland,No,Moderate,1,2,No
Harlequin Duck,Anatidae,Invertebrates,Wetland,No,Moderate,2.75,1,No
Harris's Hawk,Accipitridae,Vertebrates,Shrubland,Yes,Resident,2.93,1,No
Harris's Sparrow,Emberizidae,Seed,Shrubland,No,Moderate,1.55,2,Yes
Heermann's Gull,Laridae,Vertebrates,Ocean,No,Withdrawal,2.7,4,No
Henslow's Sparrow,Emberizidae,Invertebrates,Grassland,No,Moderate,1.11,1,No
Hepatic Tanager,Cardinalidae,Omnivore,Woodland,No,Withdrawal,1.57,1,No
Hermit Thrush,Turdidae,Omnivore,Woodland,No,Short,1.48,1,Occassionally
Hermit Warbler,Parulidae,Invertebrates,Woodland,No,Moderate,1,1,No
Herring Gull,Laridae,Omnivore,Wetland,Yes,Short,3.04,4,No
Hill Myna,Sturnidae,Fruit,Various,Yes,Resident,2.29,1,No
Hoary Redpoll,Fringillidae,Seed,Shrubland,No,Irruptive,1.18,1,Yes
Hooded Merganser,Anatidae,Invertebrates,Wetland,No,Short,2.79,2,No
Hooded Oriole,Icteridae,Invertebrates,Woodland,Yes,Withdrawal,1.39,1,Occassionally
Hook-billed Kite,Accipitridae,Invertebrates,Woodland,No,Resident,2.49,1,No
Horned Grebe,Podicipedidae,Vertebrates,Wetland,No,Moderate,2.66,1,No
Horned Lark,Alaudidae,Seed,Grassland,No,Moderate,1.52,1,Occassionally
House Finch,Fringillidae,Seed,Various,Yes,Resident,1.33,1,Yes
House Sparrow,Passeridae,Seed,Various,Yes,Resident,1.42,0.4,Yes
House Wren,Troglodytidae,Invertebrates,Woodland,Yes,Short,1.04,1,Occassionally
Hutton's Vireo,Vireonidae,Invertebrates,Woodland,No,Resident,1.04,1,No
Iceland and Thayer's Gull §,Laridae,Vertebrates,Wetland,No,Moderate,2.97,4,No
Inca Dove,Columbidae,Seed,Shrubland,Yes,Resident,1.71,1,Yes
Indigo Bunting,Cardinalidae,Seed,Woodland,No,Moderate,1.17,1,Occassionally
Oak Titmouse,Paridae,Omnivore,Woodland,No,Resident,1.2,1,Yes
Killdeer,Charadriidae,Invertebrates,Various,Yes,Short,1.98,1,No
King Eider,Anatidae,Invertebrates,Wetland,No,Moderate,3.21,2,No
King Rail,Rallidae,Invertebrates,Wetland,No,Short,2.53,1,No
Ladder-backed Woodpecker,Picidae,Invertebrates,Woodland,No,Resident,1.48,1,Occassionally
Lapland Longspur,Emberizidae,Seed,Grassland,No,Moderate,1.45,1,No
Lark Bunting,Emberizidae,Seed,Grassland,No,Short,1.58,2,No
Lark Sparrow,Emberizidae,Omnivore,Various,No,Short,1.46,1,Occassionally
Laughing Gull,Laridae,Invertebrates,Ocean,Yes,Withdrawal,2.49,2.5,No
Lawrence's Goldfinch,Fringillidae,Seed,Various,No,Irruptive,1.04,2,Occassionally
Lazuli Bunting,Cardinalidae,Seed,Shrubland,No,Moderate,1.19,1,No
Le Conte's Sparrow,Emberizidae,Omnivore,Wetland,No,Moderate,1.11,1,No
Le Conte's Thrasher,Mimidae,Invertebrates,Shrubland,No,Resident,1.79,0.8,Occassionally
Least Bittern,Ardeidae,Vertebrates,Wetland,No,Short,1.94,1,No
Least Flycatcher,Tyrannidae,Invertebrates,Woodland,No,Moderate,1,1,No
Least Grebe,Podicipedidae,Invertebrates,Wetland,No,Resident,2.12,1,No
Least Sandpiper,Scolopacidae,Invertebrates,Wetland,No,Moderate,1.36,1,No
Least Tern,Laridae,Vertebrates,Ocean,Yes,Moderate,1.67,1,No
Lesser Black-backed Gull,Laridae,Vertebrates,Ocean,Yes,Moderate,2.88,4.5,No
Lesser Goldfinch,Fringillidae,Seed,Various,Yes,Short,0.95,1,Yes
Lesser Nighthawk,Caprimulgidae,Invertebrates,Shrubland,No,Short,1.69,1,No
Lesser Prairie-Chicken,Tetraodonidae,Omnivore,Shrubland,No,Resident,2.86,1,No
Lesser Scaup,Anatidae,Vegetation,Wetland,No,Short,2.91,1,No
Lesser Yellowlegs,Scolopacidae,Invertebrates,Wetland,No,Moderate,1.89,1.5,No
Lewis's Woodpecker,Picidae,Omnivore,Woodland,No,Short,2.05,1,No
Limpkin,Aramidae,Invertebrates,Wetland,No,Resident,3.03,1,No
Lincoln's Sparrow,Emberizidae,Omnivore,Shrubland,No,Moderate,1.26,1,Occassionally
Little Blue Heron,Ardeidae,Vertebrates,Wetland,No,Short,2.53,1,No
Little Gull,Laridae,Invertebrates,Wetland,No,Moderate,2.07,1.5,No
Loggerhead Shrike,Laniidae,Invertebrates,Shrubland,No,Withdrawal,1.71,1,Occassionally
Long-billed Curlew,Scolopacidae,Invertebrates,Grassland,No,Moderate,2.77,2.5,No
Long-billed Dowitcher,Scolopacidae,Invertebrates,Wetland,No,Moderate,2.02,1,No
Long-billed Thrasher,Mimidae,Invertebrates,Shrubland,No,Resident,1.83,0.8,Occassionally
Long-eared Owl,Strigidae,Vertebrates,Woodland,No,Short,2.47,1,No
Long-tailed Duck,Anatidae,Invertebrates,Wetland,No,Moderate,2.94,2,No
Louisiana Waterthrush,Parulidae,Invertebrates,Woodland,No,Moderate,1.3,1,No
MacGillivray's Warbler,Parulidae,Invertebrates,Shrubland,No,Moderate,1,1,No
Magnificent Frigatebird,Fregatidae,Vertebrates,Ocean,No,Withdrawal,3.17,5,No
Magnificent Hummingbird,Trochilidae,Nectar,Woodland,No,Short,0.9,1,Yes
Magnolia Warbler,Parulidae,Invertebrates,Woodland,No,Long,0.91,1,No
Mallard,Anatidae,Omnivore,Wetland,Yes,Short,2.93,1,Occassionally
Marbled Godwit,Scolopacidae,Invertebrates,Wetland,No,Moderate,2.55,2.5,No
Marbled Murrelet,Alcidae,Invertebrates,Ocean,No,Withdrawal,2.34,1.5,No
Marsh Wren,Troglodytidae,Invertebrates,Wetland,No,Short,1.03,1,No
McCown's Longspur,Calcaridae,Seed,Grassland,No,Moderate,1.41,1,No
McKay's Bunting,Emberizidae,Omnivore,Grassland,No,Moderate,1.63,1,No
Merlin,Falconidae,Vertebrates,Woodland,Yes,Short,2.28,1.5,Occassionally
Mew Gull,Laridae,Invertebrates,Ocean,No,Short,2.62,2.5,No
Mexican Chickadee,Paridae,Invertebrates,Woodland,No,Resident,1.02,1,Occassionally
